1591104184.1391275,0,0,0,1.55
1591104189.8463802,0,0,0,1.67
1591104194.0756671,0,0,0,1.62
1591104199.3208325,0,0,0,1.81
1591104204.5574741,0,0,0,1.82
1591104209.7941344,0,0,0,1.68
1591104214.094218,0,0,0,1.54
1591104219.3651004,0,0,0,1.42
1591104224.6260772,0,0,0,1.39
1591104229.8805907,0,0,0,1.27
1591104235.1369479,0,0,0,1.17
1591104240.4301298,0,0,0,1.08
1591104245.6943364,0,0,0,0.99
1591104250.147158,0,1,0,0.91
1591104255.5184054,0,1,0,0.84
1591104260.8804212,0,1,0,0.77
1591104266.2591102,0,1,0,0.71
1591104271.619585,0,1,0,0.65
1591104276.0068529,0,1,0,0.6
1591104281.3634374,0,1,0,0.55
1591104286.7405736,0,1,0,0.51
1591104291.0884063,0,0,1,0.55
1591104296.4803038,0,0,0,0.58
1591104301.826939,0,0,0,0.54
1591104307.1069412,0,0,0,0.49
1591104312.3784268,100,100,0,0.53
1591104318.7879887,0,100,0,0.57
1591104325.1540346,0,100,0,0.56
1591104331.5057964,0,100,0,0.6
1591104337.776654,0,100,0,0.63
1591104343.8732915,0,100,0,0.76
1591104350.1474724,0,100,0,0.86
1591104356.469524,0,100,0,0.95
1591104362.1733053,0,100,0,0.96
1591104368.2965646,0,100,0,0.96
1591104374.588798,0,100,0,1.12
1591104380.840737,0,88,12,1.51
1591104387.2868073,0,88,12,1.47
1591104393.6922767,0,88,12,1.43
1591104399.979184,0,88,12,1.37
1591104406.2560723,0,88,12,1.34
1591104413.939214,0,84,6,2.81
1591104420.2103086,0,78,10,2.91
1591104425.806984,0,76,12,2.83
1591104431.4171696,0,76,12,2.77
1591104437.053162,0,76,12,2.7
1591104442.7819128,0,76,12,2.49
1591104449.163361,0,76,12,3.62
1591104455.314008,0,72,6,3.49
1591104460.2171125,0,64,10,3.45
1591104465.1413507,0,64,12,3.33
1591104470.1094298,0,64,12,3.23
1591104475.0437727,0,64,12,3.13
1591104480.9744008,0,64,12,2.96
1591104486.1308942,0,64,12,2.8
1591104492.1496322,0,63,6,3.7
1591104497.7769935,0,52,12,4.12
1591104503.8881187,0,52,12,4.16
1591104509.2420032,0,52,12,3.91
1591104514.6070466,0,52,12,3.6
1591104519.8407938,0,52,12,3.31
1591104525.0772648,0,52,12,3.28
1591104530.2977467,0,51,8,3.34
