1590595481, 0, 215, 0
1590595486, 0, 214, 0
1590595491, 0, 217, 0
1590595496, 0, 219, 0
1590595501, 0, 217, 0
1590595506, 0, 222, 0
1590595511, 0, 218, 0
1590595516, 0, 219, 0
1590595521, 0, 213, 0
1590595526, 0, 211, 0
1590595531, 0, 211, 0
1590595536, 0, 210, 0
1590595541, 0, 212, 0
1590595546, 0, 213, 0
1590595551, 0, 215, 0
1590595556, 0, 212, 0
1590595561, 0, 214, 0
1590595566, 0, 211, 0
1590595571, 0, 215, 0
1590595576, 0, 209, 0
1590595581, 0, 224, 0
1590595586, 0, 225, 0
1590595591, 0, 221, 0
1590595596, 0, 223, 0
1590595601, 0, 216, 0
1590595606, 0, 224, 0
1590595611, 0, 223, 0
1590595616, 0, 220, 0
1590595621, 0, 220, 0
1590595626, 0, 215, 0
1590595631, 0, 221, 0
1590595636, 0, 219, 0
1590595641, 0, 217, 0
1590595646, 0, 221, 0
1590595651, 0, 219, 0
1590595656, 0, 220, 0
1590595661, 0, 221, 0
1590595666, 0, 220, 0
1590595671, 0, 219, 0
1590595676, 0, 219, 0
1590595681, 0, 215, 0
1590595686, 0, 215, 0
1590595691, 0, 168, 0
1590595696, 0, 104, 0
1590595701, 0, 95, 0
1590595706, 0, 85, 0
1590595711, 0, 87, 0
1590595716, 0, 101, 0
1590595721, 45, 99, 0
1590595726, 359, 94, 3
1590595731, 731, 100, 7
1590595736, 689, 107, 6
1590595741, 628, 121, 5
1590595746, 200, 131, 1
1590595751, 0, 133, 0
1590595756, 0, 135, 0
1590595761, 26, 136, 0
1590595766, 25, 143, 0
1590595771, 0, 143, 0
1590595776, 0, 116, 0
1590595781, 0, 102, 0
1590595786, 0, 101, 0
1590595791, 0, 96, 0
1590595796, 0, 90, 0
1590595801, 48, 95, 0
1590595806, 171, 106, 1
1590595811, 309, 109, 2
1590595816, 205, 117, 1
1590595821, 65, 129, 0
1590595826, 56, 131, 0
1590595831, 81, 138, 0
1590595836, 0, 146, 0
1590595841, 0, 143, 0
1590595846, 0, 172, 0
1590595851, 0, 131, 0
1590595856, 0, 98, 0
1590595861, 0, 83, 0
1590595866, 0, 80, 0
1590595871, 80, 87, 0
1590595876, 0, 102, 0
1590595881, 40, 96, 0
1590595886, 607, 96, 6
1590595891, 683, 100, 6
1590595896, 505, 109, 4
1590595901, 164, 120, 1
1590595906, 16, 125, 0
1590595911, 91, 133, 0
1590595916, 43, 136, 0
1590595921, 34, 139, 0
1590595926, 0, 129, 0
1590595931, 0, 111, 0
1590595936, 0, 126, 0
1590595941, 0, 140, 0
1590595946, 0, 146, 0
1590595951, 24, 144, 0
1590595956, 153, 146, 1
1590595961, 348, 141, 2
1590595966, 0, 159, 0
1590595971, 0, 179, 0
1590595976, 0, 134, 0
1590595981, 0, 114, 0
1590595986, 0, 110, 0
1590595991, 0, 126, 0
1590595996, 0, 127, 0
1590596001, 0, 126, 0
1590596006, 40, 127, 0
1590596011, 430, 123, 3
1590596016, 550, 124, 4
1590596021, 235, 140, 1
1590596026, 0, 142, 0
1590596031, 0, 154, 0
1590596036, 0, 170, 0
1590596041, 0, 143, 0
1590596046, 0, 103, 0
1590596051, 0, 97, 0
1590596056, 0, 80, 0
1590596061, 0, 90, 0
1590596066, 0, 97, 0
1590596071, 38, 98, 0
1590596076, 254, 96, 2
1590596081, 339, 101, 3
1590596086, 271, 113, 2
1590596091, 434, 134, 3
1590596096, 0, 149, 0
1590596101, 0, 151, 0
1590596106, 0, 154, 0
1590596111, 0, 154, 0
1590596116, 0, 153, 0
1590596121, 0, 173, 0
1590596126, 0, 196, 0
1590596131, 0, 205, 0
1590596136, 0, 203, 0
1590596141, 0, 203, 0
1590596146, 69, 205, 0
1590596151, 1, 217, 0
1590596156, 0, 217, 0
1590596161, 0, 217, 0
1590596166, 0, 214, 0
1590596171, 0, 218, 0
1590596176, 0, 216, 0
1590596181, 0, 222, 0
1590596186, 0, 219, 0
1590596191, 0, 220, 0
1590596196, 0, 221, 0
1590596201, 0, 220, 0
1590596206, 0, 222, 0
1590596211, 0, 224, 0
1590596216, 0, 222, 0
